SMILES,PCE,NumHAcceptors,NumHDonors,alkyl_num,frag_sym,HOMO_calc,LUMO_calc,dipole,MPI,surface_min,surface_max,TPSA,MolLogP,PSA,control_PCE,anchor_end_BA,anchor_end_CA,anchor_end_NO,anchor_end_PA,anchor_end_PO,anchor_end_SA,anchor_end_SH,anchor_end_SiO,MetalOxide_ITO,MetalOxide_NiOx,MetalOxide_SnO2,MetalOxide_TiO2,MetalOxide_ZnO
O=C(O)c1ccc(S)cc1,14.11,2,2,0,1,-6.356329,-1.51276,1.209938,10.75224,-34.3331,46.83899,37.3,1.6735,71.01,13.18,0,1,0,0,0,0,0,0,0,0,0,1,0
O=C(O)CCS,13.45,2,2,2,1,-6.445326,0.007638,0.794582,12.42605,-30.95237,49.75872,37.3,0.3909,79.15,13.18,0,1,0,0,0,0,0,0,0,0,0,1,0
O=C(O)CCCCCCS,11.8,2,2,6,1,-6.267196,0.173568,0.818868,10.65589,-33.96118,47.09675,37.3,1.9513,89.4,13.18,0,1,0,0,0,0,0,0,0,0,0,1,0
O=C(O)CCCCCCCCCCCS,10.32,2,2,11,1,-6.23452,0.218299,2.854859,8.37899,-35.03858,46.36071,37.3,3.9018,82.74,13.18,0,1,0,0,0,0,0,0,0,0,0,1,0
O=C(O)c1ccncc1,18.9,2,1,0,1,-7.261424,-2.045861,1.894267,11.03408,-34.44694,52.84255,50.19,0.7798,66.37,14.65,0,1,0,0,0,0,0,0,0,0,0,1,0
O=C(O)c1ccc(Cl)cc1,21.35,1,1,0,1,-7.126442,-1.721957,1.392593,8.94094,-32.05022,49.53526,37.3,2.0382,53.12,20.3,0,1,0,0,0,0,0,0,0,0,0,1,0
COc1ccc(C(=O)O)cc1,20.73,2,1,0,1,-6.457486,-1.169664,2.38218,11.67811,-36.5637,44.2885,46.53,1.3934,88.35,20.3,0,1,0,0,0,0,0,0,0,0,0,1,0
NCCC(=O)O,19.43,2,2,2,1,-6.512111,0.220541,1.436695,13.71383,-34.7477,46.16131,63.32,-0.5802,71.82,20.3,0,1,0,0,0,0,0,0,0,0,0,1,0
CO[Si](CCCN)(OC)OC,12.7,4,1,3,1,-6.238968,1.260305,1.793316,8.5172,-40.26079,21.84979,53.71,0.2133,65.31,9.9,0,0,0,0,0,0,0,1,0,0,0,1,0
CCCCCCN1c2ccc(-c3ccncc3)cc2Sc2cc(-c3ccncc3)ccc21,16.25,4,0,0,0,-5.304664,-1.681424,5.233214,9.4141,-39.37277,24.93335,29.02,7.9936,186.65,12.53,0,0,1,0,0,0,0,0,0,1,0,0,0
CCCCCCN1c2ccc(-c3ccc(-c4ccncc4)c4nsnc34)cc2Sc2cc(-c3ccc(-c4ccncc4)c4nsnc34)ccc21,17,10,0,0,0,-4.982626,-2.676409,2.01658,8.10936,-26.72187,21.35134,80.58,11.337,219.17,12.53,0,0,1,0,0,0,0,0,0,1,0,0,0
c1ccc(-c2ccccn2)nc1,16.53,2,0,0,1,-6.736539,-1.439881,2.9707,11.34624,-56.23834,19.00125,25.78,2.1436,87.64,15.86,0,0,1,0,0,0,0,0,0,1,0,0,0
CO[Si](CCC(F)(F)F)(OC)OC,19.58,3,0,2,1,-7.696207,1.011394,3.90802,9.67424,-22.2132,16.72434,27.69,1.8169,123.47,17.98,0,0,0,0,0,0,0,1,0,1,0,0,0
CCO[Si](CCCN)(OCC)OCC,20.21,4,1,3,1,-6.235686,1.247911,1.665693,6.86841,-40.22922,21.77645,53.71,1.3836,56.75,18.71,0,0,0,0,0,0,0,1,0,1,0,0,0
SCCS,19.65,2,2,2,1,-6.37521,0.129938,0.0039,10.08365,-19.01036,22.24629,0,0.846,68.42,16.51,0,0,0,0,0,0,1,0,0,0,0,0,1
NCCC(=O)O,15.67,2,2,2,1,-6.512111,0.220541,1.436695,13.71383,-34.7477,46.16131,63.32,-0.5802,71.82,11.96,0,1,0,0,0,0,0,0,0,0,0,0,1
NCCC(=O)O,11.6,2,2,2,1,-6.512111,0.220541,1.436695,13.71383,-34.7477,46.16131,63.32,-0.5802,71.82,9.7,0,1,0,0,0,0,0,0,0,0,0,0,1
Nc1ccc(C(=O)O)cc1,10.58,2,2,0,1,-5.891418,-0.902184,4.129124,14.50899,-39.65044,41.1939,63.32,0.967,97.09,9.63,0,1,0,0,0,0,0,0,0,0,0,1,0
N#CC(C#N)=c1c(F)c(F)c2c(F)c(=C(C#N)C#N)c(F)c(F)c2c1F,20.86,4,0,0,0,-7.312796,-5.47691,0.000224,16.62616,-27.73086,40.54127,95.16,2.07012,195.4,19.69,0,0,1,0,0,0,0,0,0,1,0,0,0
CCO[Si](CCCN)(OCC)OCC,20.32,4,1,3,1,-6.235686,1.247911,1.665693,6.86841,-40.22922,21.77645,53.71,1.3836,56.75,18.3,0,0,0,0,0,0,0,1,0,0,0,1,0
O=C(O)c1ccc(Cl)cc1,18.43,1,1,0,1,-7.126442,-1.721957,1.392593,8.94094,-32.05022,49.53526,37.3,2.0382,53.12,17.46,0,1,0,0,0,0,0,0,0,0,0,1,0
O=C(O)c1ccccc1,17.9,1,1,0,1,-7.29672,-1.506979,1.839161,10.41554,-34.27143,47.16117,37.3,1.3848,59.22,17.46,0,1,0,0,0,0,0,0,0,0,0,1,0
Nc1ccc(C(=O)O)cc1,16.22,2,2,0,1,-5.891418,-0.902184,4.129124,14.50899,-39.65044,41.1939,63.32,0.967,97.09,17.46,0,1,0,0,0,0,0,0,0,0,0,1,0
O=C(O)c1ccc([N+](=O)[O-])cc1,14.62,3,1,0,1,-8.044581,-3.018519,3.681858,13.57203,-29.69536,55.56308,80.44,1.293,103.37,17.46,0,1,0,0,0,0,0,0,0,0,0,1,0
O=P(O)(O)Cc1ccc(Br)cc1,12.7,1,2,1,1,-6.591401,-0.750235,0.76251,12.98488,-40.55857,51.63882,57.53,2.1268,116.05,11.2,0,0,0,1,0,0,0,0,0,1,0,0,0
COc1ccc(P(=O)(O)O)cc1,12.08,2,2,0,1,-6.494416,-0.746027,3.719136,14.06089,-45.87441,49.0242,66.76,0.4982,116.54,17.02,0,0,0,1,0,0,0,0,0,1,0,0,0
O=P(O)(O)c1ccccc1,15.35,1,2,0,1,-7.324153,-1.0694,2.101104,13.29871,-43.72806,51.04584,57.53,0.4896,88.78,17.02,0,0,0,1,0,0,0,0,0,1,0,0,0
N#Cc1ccc(P(=O)(O)O)cc1,18.45,2,2,0,1,-7.756025,-2.208901,4.031949,15.19361,-37.54742,57.83996,81.32,0.36128,116.42,17.02,0,0,0,1,0,0,0,0,0,1,0,0,0
NCP(=O)(O)O,23.99,2,3,1,1,-6.562492,0.609072,1.90102,16.93497,-42.38545,52.30655,83.55,-0.9197,85.95,22.72,0,0,0,1,0,0,0,0,0,0,1,0,0
NCC(=O)O,23.56,2,2,1,1,-6.796841,0.119092,1.238987,14.73779,-35.22801,48.8338,63.32,-0.9703,70.92,22.72,0,1,0,0,0,0,0,0,0,0,1,0,0
CO[Si](CCCS)(OC)OC,16.5,4,1,3,1,-6.143101,0.835353,2.580468,8.91314,-26.92065,17.17041,27.69,1.1844,85.64,14.36,0,0,0,0,0,0,0,1,0,0,0,1,0
COC(=O)CP(=O)(OCC(F)(F)F)OCC(F)(F)F,24.26,5,0,0,0,-8.126163,-0.406745,2.842595,11.46708,-36.8908,25.36598,61.83,2.5103,133.96,21.94,0,0,1,0,0,0,0,0,0,0,1,0,0
OCC(F)(F)F,22.99,1,1,1,1,-8.170442,0.791538,3.266375,15.86839,-28.58316,53.59922,20.23,0.541,78.72,21.94,0,0,1,0,0,0,0,0,0,0,1,0,0
COC(C)=O,23.55,2,0,0,0,-7.493682,0.273123,1.775334,11.50882,-36.59872,15.83471,26.3,0.1793,56.26,21.94,0,0,1,0,0,0,0,0,0,0,1,0,0
O=P(O)(O)O,22.9,1,3,0,1,-8.101561,0.344698,3.1104,21.41101,-43.96167,57.23893,77.76,-0.9286,72.8,21.94,0,0,0,1,0,0,0,0,0,0,1,0,0
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3cc4c(cc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)n4-c4cc(F)c(F)c(F)c4)n3-c3cc(F)c(F)c(F)c3)cc2)cc1,24,8,0,0,0,-4.706651,-1.273565,0,7.64798,-24.32436,20.50514,53.26,15.5638,255.7,22.2,0,0,1,0,0,0,0,0,0,1,0,0,0
NCc1cccs1,20.4,2,1,2,0,-6.097532,-0.296762,1.343546,9.79352,-32.09147,27.20126,26.02,1.2068,64.37,17.6,0,0,1,0,0,0,0,0,0,1,0,0,0
Cc1ccc2c(c1)c1cc(C)ccc1n2CCCCP(=O)(O)O,22.6,2,2,4,1,-5.378899,-0.906493,1.684463,10.50495,-41.07302,50.48756,62.46,4.36924,164.24,22.2,0,0,0,1,0,0,0,0,0,1,0,0,0
NC12CC3CC(C1)CC(O)(C3)C2,22.21,2,2,0,0,-6.31522,0.96297,2.246176,9.17935,-38.38046,37.84767,46.25,1.0288,56.18,19.62,0,0,1,0,0,0,0,0,0,1,0,0,0
