alkyl_num,frag_sym,HOMO_calc,LUMO_calc,dipole,MPI,surface_min,surface_max,PSA
3,1,-5.666587,-2.41466,10.280853,26.36403,-61.81134,39.01268,175.13
2,1,-6.191948,1.306303,0.839986,11.61192,-39.77794,41.94646,43.84
0,0,-7.397986,-2.103406,3.544742,14.6946,-35.78387,53.45589,119.62
0,0,-6.703703,-2.728762,6.343675,14.8121,-39.78824,64.8047,119.03
0,0,-5.72734,-0.667458,2.448948,15.89321,-34.74231,47.28162,92.52
0,0,-5.321591,-3.025292,5.476426,8.73501,-39.13829,49.72597,185.2
0,0,-6.382406,-0.998106,4.311716,11.67398,-19.52881,60.52804,91.12
0,0,-6.762661,-1.231503,0.926012,8.47821,-23.39947,40.7957,58.66
0,0,-7.23404,-1.755012,4.808819,13.68364,-33.91239,42.70294,111.84
0,0,-7.217721,-1.796392,4.653361,12.31253,-41.30111,30.32329,91.45
0,0,-6.113971,-0.702201,5.742655,17.18175,-41.38529,50.40166,164.11
0,1,-8.186258,-2.35938,0.0,16.77886,-25.96207,48.71585,71.04
1,1,-7.847118,-0.200495,2.338908,17.30172,-33.47507,52.31433,91.04
2,1,-7.720123,-0.084857,0.7051,14.5784,-31.33403,48.92321,91.42
2,0,-5.983251,-0.15977,4.217769,17.7853,-49.21478,52.88897,104.93
0,0,-6.523852,0.097106,8.087402,17.67823,-49.39487,56.17143,109.98
1,1,-6.796841,0.119092,1.238987,14.73779,-35.22801,48.8338,70.92
3,1,-6.68365,-0.775612,3.615849,9.28994,-24.76018,15.52877,124.6
3,1,-7.402452,1.242785,1.419746,6.59395,-28.30093,12.58998,35.4
0,1,-6.356329,-1.51276,1.209938,10.75224,-34.3331,46.83899,71.01
2,1,-6.445326,0.007638,0.794582,12.42605,-30.95237,49.75872,79.15
